@relation project-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute SalaryUSD {Low,High,High-Mid,Low-Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
Low,Sweden,M,4,E,D,Y,4,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,15,E,DBAP,N,25,5,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,12,E,DBAG,Y,6,4,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,UK,M,10,E,DBAP,N,5,2,0,E,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,5,E,D,N,5,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Pakistan,M,14,E,M,Y,14,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,14,E,DA,N,14,3,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,P,2,EC,M,Y,9,2,1,PB,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,10,E,DBAG,N,2,1,4,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,UK,M,10,E,DT,Y,10,4,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Paraguay,M,5,E,DBAG,N,5,2,0,PB,S,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,6,EC,DT,N,6,4,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,India,M,13,E,DBAP,Y,13,4,6,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Serbia-and-Montenegro,M,20,E,A,Y,20,1,0,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,20,E,M,Y,5,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Germany,M,2,E,DBAD,N,7,3,2,E,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,11,E,DT,Y,10,2,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,8,EC,A,N,20,6,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,Canada,M,16,E,DBAG,N,16,2,0,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,India,M,4,E,DBAP,N,4,2,3,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,M,5,E,DA,N,7,1,2,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Canada,M,8,E,DBAG,N,8,2,2,SG,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,2,E,DBAG,N,3,2,3,LG,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,UK,M,5,E,E,Y,5,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,USA,M,5,E,AN,N,5,1,0,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,UK,M,3,E,DBAG,N,1,2,1,NP,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,UK,M,23,IC,A,N,23,6,6,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Canada,M,25,E,DBAG,N,15,4,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,UK,M,11,E,DBAP,N,10,3,5,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,18,E,A,Y,18,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,India,A,6,E,DBAG,N,6,3,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,6,E,A,N,2,2,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,8,E,DBAG,N,6,4,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Dominican-Republic,M,5,E,DBAG,N,4,2,3,SG,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,20,EC,A,Y,2,1,0,PB,SR,F,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Slovakia,M,6,IC,DT,N,6,5,2,PB,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,12,E,DBAP,N,6,1,0,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,USA,MA,5,E,AN,N,5,1,2,PB,SE,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,25,E,DBAD,Y,20,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,15,E,DBAP,Y,14,1,6,PB,SR,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High,USA,M,6,E,DA,N,6,3,6,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Canada,M,14,E,A,N,3,1,1,SG,C,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low,Brazil,M,8,E,DBAP,Y,3,5,5,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
High-Mid,USA,M,5,E,DBAG,N,4,1,0,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
Low-Mid,Germany,M,5,E,DBAG,N,5,1,1,PB,S,M,373.411662,'Bachelors (4 years)',N,43.16509,zero
